BESTELLIDENT;B_EMAIL;B_TELEFON;B_GEBDATUM;FLAG_LRIDENTISCH;FLAG_NEWSLETTER;Z_METHODE;Z_CARD_ART;Z_CARD_VALID;Z_LAST_NAME;WERT_BEST;TAG_BEST;TIME_BEST;ANZ_BEST;ANUMMER_01;ANUMMER_02;ANUMMER_03;ANUMMER_04;ANUMMER_05;ANUMMER_06;ANUMMER_07;ANUMMER_08;ANUMMER_09;ANUMMER_10;CHK_LADR;CHK_RADR;CHK_KTO;CHK_CARD;CHK_COOKIE;CHK_IP;FAIL_LPLZ;FAIL_LORT;FAIL_LPLZORTMATCH;FAIL_RPLZ;FAIL_RORT;FAIL_RPLZORTMATCH;SESSION_TIME;NEUKUNDE;ANZ_BEST_GES;WERT_BEST_GES;DATUM_LBEST;MAHN_AKT;MAHN_HOECHST;PROGNOSE_BETRUG
178;ja;nein;1955-12-21 00:00:00.000;ja;nein;Kreditkarte;Eurocard;3.2006;ja;122,1;So;1899-12-30 22:46:00.000;3;202469;403639.0;407359.0;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;4;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
181;ja;nein;1985-09-22 00:00:00.000;ja;nein;Rechnung;;9.2007;;18,5;Fr;1899-12-30 09:48:00.000;1;108777;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;1;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
182;ja;nein;1979-07-18 00:00:00.000;ja;nein;Kreditkarte;Eurocard;5.2006;ja;158,8;Sa;1899-12-30 02:22:00.000;3;601371;408397.0;206774.0;;;;;;;;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;7;nein;1;129,18;2001-02-23 00:00:00.000;0;0;ja
185;nein;nein;1971-12-12 00:00:00.000;ja;nein;Kreditkarte;Visa;3.2006;ja;14,5;So;1899-12-30 09:12:00.000;1;304077;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;16;nein;1;12,37;2004-03-21 00:00:00.000;0;0;nein
191;ja;nein;1965-07-20 00:00:00.000;ja;nein;Kreditkarte;Eurocard;6.2006;ja;43,5;Sa;1899-12-30 13:59:00.000;1;104159;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;4;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
194;ja;nein;1963-06-06 00:00:00.000;ja;nein;Rechnung;;7.2005;;37;So;1899-12-30 05:30:00.000;1;402734;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;3;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
201;ja;nein;1899-12-30 00:00:00.000;ja;nein;Rechnung;;6.2007;;17,5;Mo;1899-12-30 13:15:00.000;1;303776;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;7;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
202;nein;nein;1960-07-19 00:00:00.000;nein;nein;Lastschrift;;4.2006;ja;34,5;Mi;1899-12-30 15:40:00.000;1;401216;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;12;nein;1;6,2;2001-02-10 00:00:00.000;0;0;nein
203;ja;nein;1986-09-22 00:00:00.000;ja;nein;Rechnung;;6.2005;;31,9;Sa;1899-12-30 19:40:00.000;1;206954;;;;;;;;;;nein;ja;nein;nein;nein;ja;nein;nein;nein;nein;nein;nein;2;nein;1;54,74;2002-07-26 00:00:00.000;0;0;ja
204;ja;ja;1968-02-16 00:00:00.000;ja;nein;Rechnung;;8.2007;;17,8;Sa;1899-12-30 16:17:00.000;1;400578;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;12;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
205;ja;ja;1962-03-24 00:00:00.000;nein;nein;Kreditkarte;Visa;8.2006;ja;51;Di;1899-12-30 03:54:00.000;1;404134;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;13;nein;2;32,84;2000-12-14 00:00:00.000;0;0;nein
208;nein;ja;1985-09-04 00:00:00.000;ja;nein;Kreditkarte;Eurocard;8.2007;ja;41;So;1899-12-30 16:55:00.000;1;503776;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;nein;1;73,79;2001-02-24 00:00:00.000;0;0;nein
210;ja;nein;1979-01-25 00:00:00.000;ja;nein;Rechnung;;5.2005;;61,89;Di;1899-12-30 11:17:00.000;2;502845;206255.0;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;14;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
214;nein;nein;1899-12-30 00:00:00.000;ja;nein;Lastschrift;;12.2007;ja;68,4;Mi;1899-12-30 16:26:00.000;1;205958;;;;;;;;;;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;16;nein;1;55,37;2001-08-05 00:00:00.000;0;0;nein
216;ja;nein;1964-09-18 00:00:00.000;nein;nein;Kreditkarte;Eurocard;4.2005;ja;120,8;Mi;1899-12-30 02:01:00.000;3;208801;400578.0;201216.0;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;5;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
221;ja;nein;1975-05-27 00:00:00.000;ja;nein;Rechnung;;8.2007;;9,8;Sa;1899-12-30 12:35:00.000;1;201373;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;11;nein;1;12,92;2003-04-26 00:00:00.000;2;2;nein
223;ja;nein;1964-02-05 00:00:00.000;ja;nein;Rechnung;;4.2005;;12,6;Mo;1899-12-30 14:50:00.000;1;208499;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
224;ja;nein;1899-12-30 00:00:00.000;ja;nein;Rechnung;;2.2005;;42,8;So;1899-12-30 08:30:00.000;1;402634;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
226;nein;nein;1966-04-22 00:00:00.000;ja;nein;Rechnung;;7.2005;;39,5;So;1899-12-30 12:59:00.000;1;600476;;;;;;;;;;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein;12;ja;0;0;1899-12-30 00:00:00.000;0;0;ja
227;ja;ja;1969-12-08 00:00:00.000;nein;nein;Kreditkarte;Eurocard;2.2005;ja;18;Di;1899-12-30 04:46:00.000;1;400925;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;8;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
234;ja;nein;1962-11-27 00:00:00.000;ja;nein;Rechnung;;6.2007;;37;Do;1899-12-30 09:31:00.000;1;603136;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;11;nein;1;68,42;2002-02-14 00:00:00.000;0;0;nein
235;ja;ja;1979-07-02 00:00:00.000;nein;nein;Lastschrift;;5.2006;ja;6,5;Fr;1899-12-30 23:35:00.000;1;202681;;;;;;;;;;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;1;nein;1;68,06;2004-05-08 00:00:00.000;0;0;nein
239;ja;nein;1985-06-01 00:00:00.000;ja;nein;Rechnung;;9.2006;;57,8;Do;1899-12-30 17:30:00.000;1;309006;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;5;ja;0;0;1899-12-30 00:00:00.000;0;0;nein
240;ja;nein;1950-05-20 00:00:00.000;ja;nein;Rechnung;;10.2006;;9,8;Mi;1899-12-30 13:50:00.000;1;206821;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;9;nein;1;11,04;2001-01-02 00:00:00.000;0;0;nein
241;nein;nein;1978-08-06 00:00:00.000;ja;nein;Rechnung;;7.2005;;34,5;Sa;1899-12-30 08:30:00.000;1;504935;;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;6;nein;1;18,1;2001-11-08 00:00:00.000;0;0;nein
249;ja;nein;1964-08-15 00:00:00.000;nein;nein;Kreditkarte;Eurocard;8.2007;ja;33,99;Fr;1899-12-30 12:47:00.000;2;408126;303397.0;;;;;;;;;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;nein;2;12,6;2002-06-28 00:00:00.000;0;2;nein
